initial_cash,final_equity,total_return_pct,benchmark_equal_weight_return_pct,alpha_vs_equal_weight_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,guardrail_triggered,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,cooldown_days,max_drawdown_stop_pct,score,stop_loss_exits,take_profit_exits,time_exits
200.0,249.52640205707556,24.76320102853777,437.16763547176214,-412.4044344432244,-17.5555567042334,0.415217880810496,73.0,74.27397260273973,63.013698630136986,1.4093129343061892,39.879825000000004,False,90,0.0,0.2,0.15,20,0.3,14.459106921893667,0,27,46
200.0,257.7556242829514,28.87781214147569,436.690582605636,-407.8127704641603,-22.384315844270507,0.37771890453983475,70.0,74.44285714285714,62.857142857142854,1.3593796897407844,50.716255000000004,False,90,0.0,0.2,0.2,20,0.0,14.250660956976729,0,26,44
200.0,257.7556242829514,28.87781214147569,436.690582605636,-407.8127704641603,-22.384315844270507,0.37771890453983475,70.0,74.44285714285714,62.857142857142854,1.3593796897407844,50.716255000000004,False,90,0.0,0.2,0.2,20,0.3,14.250660956976729,0,26,44
200.0,257.9826883034287,28.991344151714337,449.83639367900105,-420.84504952728673,-25.17066627619443,0.29231163661547016,68.0,90.0,54.41176470588235,1.3423988182208713,49.134519000000004,False,90,0.0,0.0,0.2,20,0.0,12.32861258567287,0,0,68
200.0,257.9826883034287,28.991344151714337,449.83639367900105,-420.84504952728673,-25.17066627619443,0.29231163661547016,68.0,90.0,54.41176470588235,1.3423988182208713,49.134519000000004,False,90,0.0,0.0,0.2,20,0.3,12.32861258567287,0,0,68
200.0,235.87800679219055,17.939003396095266,450.32621664583996,-432.3872132497447,-13.789648937805676,0.3345068245032171,72.0,90.0,55.55555555555556,1.4222422675266042,26.217772000000004,False,90,0.0,0.0,0.1,20,0.0,11.23708943037403,0,0,72
200.0,235.87800679219055,17.939003396095266,450.32621664583996,-432.3872132497447,-13.789648937805676,0.3345068245032171,72.0,90.0,55.55555555555556,1.4222422675266042,26.217772000000004,False,90,0.0,0.0,0.1,20,0.2,11.23708943037403,0,0,72
200.0,235.87800679219055,17.939003396095266,450.32621664583996,-432.3872132497447,-13.789648937805676,0.3345068245032171,72.0,90.0,55.55555555555556,1.4222422675266042,26.217772000000004,False,90,0.0,0.0,0.1,20,0.3,11.23708943037403,0,0,72
200.0,233.99299067630005,16.99649533815002,437.16763547176214,-420.17114013361214,-12.632389637568831,0.41444579658841246,74.0,74.48648648648648,63.51351351351351,1.4214683662535015,26.990933000000002,False,90,0.0,0.2,0.1,20,0.0,11.059998291240905,0,27,47
200.0,233.99299067630005,16.99649533815002,437.16763547176214,-420.17114013361214,-12.632389637568831,0.41444579658841246,74.0,74.48648648648648,63.51351351351351,1.4214683662535015,26.990933000000002,False,90,0.0,0.2,0.1,20,0.2,11.059998291240905,0,27,47
