initial_cash,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,score,stop_loss_exits,take_profit_exits,time_exits
200.0,127.8965807034378,-36.0517096482811,-51.46864447214254,-0.38820011134345395,115.0,33.13913043478261,34.78260869565217,0.7092140163073519,77.77206199999999,60,0.08,0.2,0.2,-78.44572602085125,63,18,34
200.0,124.75372962964636,-37.62313518517683,-49.63462041711939,-0.5586427532079193,156.0,23.846153846153847,42.94871794871795,0.6608412035047393,78.82711400000001,40,0.08,0.12,0.15,-80.16625018049268,72,36,48
200.0,133.283691778267,-33.35815411086649,-58.29627017630782,-0.2729374826962736,154.0,31.935064935064936,41.55844155844156,0.7334757440306794,77.72468699999999,40,0.12,0.0,0.15,-81.91921237294396,54,0,100
200.0,123.34951644525918,-38.32524177737041,-53.85852911893756,-0.474585096393623,155.0,25.774193548387096,40.0,0.6760378216845372,78.219296,40,0.08,0.2,0.15,-83.89991430815091,76,17,62
200.0,114.27006313924414,-42.86496843037793,-51.52717900821566,-0.5439865899442712,116.0,29.948275862068964,38.793103448275865,0.6382441574278302,78.42760399999999,60,0.08,0.12,0.2,-85.72051209940054,60,30,26
200.0,121.23087341046919,-39.38456329476541,-55.89492526613602,-0.4425667824771729,154.0,30.194805194805195,42.2077922077922,0.6789871935918963,77.604169,40,0.12,0.2,0.15,-86.41102972640793,53,18,83
200.0,117.87737366187297,-41.06131316906352,-55.64306591711592,-0.5289529194418429,156.0,27.807692307692307,45.51282051282051,0.6530466341016576,78.758378,40,0.12,0.12,0.15,-88.14629833639219,52,39,65
200.0,122.4579791379319,-38.77101043103405,-62.35376294933579,-0.3515034018107432,116.0,35.810344827586206,47.41379310344828,0.6955604082974645,78.50943899999999,60,0.12,0.12,0.2,-89.46400255154857,46,34,36
200.0,105.87461515792849,-47.062692421035756,-61.95558566780151,-0.4769568463194079,150.0,23.713333333333335,43.333333333333336,0.6699088107627629,100.84071,40,0.08,0.12,0.2,-99.72187311807306,70,35,45
200.0,116.55745004299932,-41.72127497850035,-71.1366306089839,-0.18877459051282514,149.0,27.322147651006713,39.59731543624161,0.7302011263724301,100.155737,40,0.08,0.0,0.2,-100.90052915337611,75,0,74
200.0,100.08805687774664,-49.955971561126674,-68.71266251993914,-0.38912565630016965,149.0,25.630872483221477,40.26845637583892,0.6722115786614904,99.99106,40,0.08,0.2,0.2,-107.59896355777359,74,16,59
200.0,109.7707720050965,-45.11461399745175,-75.89656124340699,-0.16034325791097648,148.0,31.864864864864863,41.891891891891895,0.7210128215825787,99.29595900000001,40,0.12,0.0,0.2,-107.8367687720941,53,0,95
200.0,96.38421557910159,-51.807892210449204,-70.23672945962971,-0.42695792710623964,150.0,27.72,46.0,0.6605556707074479,100.745778,40,0.12,0.12,0.2,-110.71994985163425,51,38,61
200.0,96.942640376648,-51.52867981167599,-71.66418610222,-0.3507783806432163,148.0,30.114864864864863,42.567567567567565,0.6747192725095205,99.16769099999999,40,0.12,0.2,0.2,-111.30160757579338,52,17,79
